가격,"값

"
기술,"노하우, 비결, 비법

"
기술공,"기공1, 기능공

"
기아,"굶주림

"
기업가,"기업인, 기업자
"
기업인,"기업가, 기업자

"
기업자,"기업가, 기업인

"
기여,"공헌

"
기왕,"이왕1

"
기왕지사,"이왕지사

"
기원,"기도2

"
기원후,"서기
"
기저,"밑바닥

"
기저,"근간3, 근본, 근저, 기초

"
기적,"이적1

"
기점,"시점1, 출발점
"
기중기,"크레인
"
기증,"증여, 증정

"
기초,"근간3, 근본, 근저, 기저

"
기한,"마감

"
기호품,"기호 식품

"
긴소리,"장음
"
긴소매,"긴팔
"
긴팔,"긴소매
"
길,"도로2

"
길가,"길섶, 길옆, 노변

"
길거리,"거리1

"
길라잡이,"길잡이

"
길라잡이,"길잡이

"
길바닥,"노면

"
길바닥,"노상2

"
길섶,"길가, 길옆, 노변

"
길옆,"길가, 길섶, 노변

"
길잡이,"길라잡이

"
길잡이,"길라잡이

"
깁스,"석고 붕대

"
깃,"깃털

"
깃,"옷깃

"
깃,"옷깃

"
깃털,"깃1

"
까까머리,"빡빡머리, 중머리

"
까막눈,"까막눈이, 눈뜬장님, 문맹

"
까막눈이,"까막눈, 눈뜬장님, 문맹

"
까투리,"암꿩
"
까풀,"꺼풀

"
까풀,"꺼풀

"
깍지,"손깍지

"
깡,"깡다구

"
깡다구,"깡

"
꺼풀,"까풀

"
꺼풀,"까풀

"
꺽다리,"키다리

"
꼬꼬,"꼬꼬닭

"
꼬꼬닭,"꼬꼬1

"
꼬챙이,"꼬치

"
꼬치,"꼬챙이

"
꼭대기,"정수리

"
꼭두각시,"바지저고리, 로봇, 허수아비

"
꼴,"목초2

"
꽁무니,"뒤꽁무니

"
꽁초,"담배꽁초

"
꽃나무,"화초, 화훼

"
꽃동산,"화원

"
꽃망울,"망울

"
꽃병,"화병2

"
꽃봉오리,"봉오리

"
꽃삽,"모종삽

"
꾸중,"꾸지람, 지청구

"
꾸지람,"꾸중, 지청구

"
꿀꿀이,"꿀돼지

"
꿀돼지,"꿀꿀이

"
꿀밤,"알밤

"
꿀통,"벌통

"
꿈풀이,"해몽

"
끝막음,"종결

"
끝소리,"받침소리, 종성, 첫소리

"
끼,"끼니

"
끼,"끼니

"
끼니,"끼1

"
